0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,class_name
1.0,1.5249622e-09,1.2912236e-34,0.0,3.2229972e-21,1.4215985e-26,1.7080617e-36,7.169317e-30,2.4486106e-27,1.2080829e-35,3.3682733e-32,5.326748e-15,0.0,2.4840064e-25,4.390721e-20,5.642719e-22,3.3075263e-24,0.0,0.0,0.0,3.5012104e-38,3.2672944e-18,9.667457e-21,0.0,0.0,0.0,2.627328e-26,0.0,0.0,2.1321584e-20,8.316139e-38,0.0,4.701399e-28,0.0,0.0,2.4405143e-36,0.0,0.0,0.0,9.65965e-12,7.44051e-29,3.0817353e-21,2.480268e-31,2.2822598e-20,2.5510138e-34,0.0,0.0,1.4008416e-32,3333
1.0,1.4100681e-14,4.2941973e-36,0.0,3.3223687e-26,4.2858968e-30,0.0,3.2735106e-31,4.3467524e-30,0.0,2.0959997e-33,1.3312774e-18,2.697252e-37,1.7537103e-29,1.19284836e-26,6.194678e-26,5.18248e-28,0.0,0.0,0.0,0.0,5.5996054e-19,4.602912e-27,0.0,0.0,0.0,9.747463e-32,0.0,7.667301e-37,4.9035153e-19,0.0,0.0,4.090596e-24,0.0,0.0,3.36426e-36,0.0,0.0,0.0,3.0497097e-17,3.1135342e-28,2.0108292e-23,5.2887383e-32,7.928905e-22,9.1777785e-38,0.0,0.0,5.7403965e-37,3333
0.9360005,0.06343618,3.091646e-12,1.4460039e-17,1.146526e-25,6.0991084e-17,1.9387591e-23,3.343781e-07,2.1888466e-15,2.025843e-30,9.435454e-19,0.0005470381,8.939537e-21,4.9582728e-18,7.82517e-13,8.820126e-15,5.6601336e-16,4.154301e-31,4.4301135e-32,5.14217e-35,6.060813e-33,3.5977835e-10,7.7193866e-16,3.8903964e-26,1.3512337e-37,1.0962974e-29,2.385754e-21,7.3604195e-37,2.3180705e-25,1.596325e-05,8.465751e-29,2.2536965e-24,1.0245143e-13,2.0276657e-32,3.3522543e-37,6.990361e-19,2.705247e-23,2.3403752e-30,9.886598e-29,2.2347088e-16,5.6190646e-16,1.7123796e-22,3.9928312e-26,3.4467965e-16,3.6855e-28,6.196493e-35,5.039152e-36,6.3206975e-31,3333
1.0,2.704598e-11,2.784285e-29,2.4426462e-37,3.0352818e-18,1.7305029e-23,3.3549258e-31,7.994918e-26,8.538911e-24,9.5131776e-30,4.1437865e-26,2.7103726e-14,1.4303262e-30,1.2175662e-22,6.549971e-20,6.4067407e-20,1.0562355e-21,2.8289548e-34,0.0,0.0,6.8107467e-32,4.3175514e-15,4.4647503e-20,1.392307e-32,0.0,3.6179414e-35,1.6842946e-23,0.0,9.9343416e-30,1.5478136e-16,4.2548717e-34,1.254988e-32,8.158255e-21,7.857128e-36,0.0,4.0052277e-29,0.0,4.8569132e-36,8.410682e-35,2.4552013e-11,1.1149215e-22,4.2831796e-17,5.7848176e-24,5.076128e-17,1.7373842e-28,5.763894e-38,3.886031e-36,7.138627e-27,3333
0.024179354,0.0014697042,1.4951021e-15,2.3865442e-29,1.06809186e-26,4.7465032e-20,4.6319296e-23,8.6117586e-16,1.1628535e-18,3.202135e-30,1.4099804e-19,0.97434855,3.6385814e-32,2.6551645e-19,7.792963e-17,4.1625322e-16,2.464166e-18,6.215111e-38,5.6328015e-37,0.0,1.7298231e-37,2.444515e-06,1.2684247e-18,7.008338e-31,0.0,3.918882e-37,3.820785e-18,0.0,1.9154512e-34,7.205914e-16,5.9614774e-33,2.4150758e-26,7.202687e-27,0.0,0.0,5.324119e-32,4.645946e-30,4.9734334e-37,0.0,6.9597175e-12,2.639628e-22,1.4071867e-26,3.3636228e-25,1.5202525e-22,4.7765688e-33,0.0,0.0,1.2050142e-32,3333
1.0,3.6995935e-09,5.8531234e-30,0.0,4.2991716e-25,7.6923006e-27,8.671209e-36,7.655762e-28,1.0373574e-26,3.7745824e-36,1.01891106e-29,2.9815194e-13,3.9384863e-37,6.551776e-26,3.81804e-22,2.9892555e-22,2.4476153e-24,0.0,0.0,0.0,0.0,2.3589571e-14,5.7998872e-24,0.0,0.0,0.0,9.073708e-27,0.0,5.798253e-38,1.0451868e-18,0.0,4.823931e-38,4.3997088e-27,0.0,0.0,1.1297143e-35,0.0,0.0,0.0,1.646344e-13,4.4059885e-28,9.0675285e-24,2.5811095e-30,1.6484081e-21,2.1580723e-36,0.0,0.0,2.967535e-35,3333
1.0,2.8631529e-12,2.6238403e-35,0.0,6.7745174e-26,7.644344e-30,0.0,1.1486107e-31,1.059799e-29,0.0,2.5771994e-33,1.3350669e-17,0.0,6.8538394e-29,4.209847e-25,6.2873146e-25,3.9756702e-27,0.0,0.0,0.0,0.0,7.838938e-18,1.4223689e-26,0.0,0.0,0.0,2.2748513e-30,0.0,0.0,2.0293893e-19,0.0,0.0,1.0226898e-26,0.0,0.0,3.5496933e-37,0.0,0.0,0.0,1.6924681e-15,7.338549e-30,1.2899263e-23,1.4247484e-32,7.8288813e-22,1.8428417e-38,0.0,0.0,6.638534e-37,3333
1.0,2.8198595e-09,2.7841696e-28,4.48734e-35,1.4137009e-14,6.733084e-20,1.4673894e-28,1.3426997e-21,2.1373457e-20,2.508543e-27,8.460894e-25,4.544811e-12,8.1503207e-29,3.0305597e-19,4.5985347e-15,1.8847878e-16,9.22814e-19,2.1294406e-30,1.425544e-37,1.43492335e-36,7.2241767e-28,4.3597342e-17,1.1417532e-14,1.2303254e-31,6.308655e-38,5.2494175e-34,2.5634685e-21,3.2884948e-37,3.968367e-27,2.6746604e-14,7.200704e-29,4.55868e-29,2.1707742e-18,2.6895543e-31,0.0,3.1046084e-25,3.9290064e-35,7.065842e-31,2.9659568e-31,1.4092885e-10,8.3381654e-20,7.4645897e-14,2.075681e-23,5.494495e-15,3.430452e-24,1.8460195e-33,2.8010502e-31,7.635595e-24,3333
0.9999989,3.8128036e-07,1.4433564e-18,2.9388234e-23,1.16334116e-10,9.82455e-15,1.190969e-19,3.8682438e-16,7.642936e-15,7.192501e-18,2.2381276e-16,8.651143e-10,1.9027501e-18,3.1606547e-14,4.090944e-12,1.915267e-12,1.6827342e-13,1.7352632e-20,2.1660257e-24,7.5901056e-25,3.268386e-19,7.393607e-10,3.738905e-12,3.0298382e-20,1.2474689e-25,1.0470636e-21,1.367703e-14,2.9523265e-25,5.0163504e-18,5.820724e-10,9.757179e-21,2.228615e-20,1.3353083e-12,1.0721722e-21,1.7939652e-25,1.3307892e-17,1.9535221e-24,5.4742393e-22,8.845766e-21,6.775713e-07,4.61786e-14,3.729123e-10,4.989639e-15,9.536464e-10,2.5833104e-17,7.1644966e-23,1.8731693e-21,4.497009e-16,3333
1.0,4.928934e-16,2.0405802e-37,0.0,4.5415007e-27,4.5513033e-33,0.0,4.12582e-34,6.3076568e-34,0.0,3.884493e-34,1.8566148e-16,0.0,1.9967782e-32,3.6689318e-29,3.011081e-29,3.3307228e-31,0.0,0.0,0.0,0.0,3.0087673e-18,1.0082483e-27,0.0,0.0,0.0,3.2856066e-32,0.0,0.0,4.69852e-25,0.0,0.0,7.940643e-31,0.0,0.0,0.0,0.0,0.0,0.0,2.6302806e-15,4.0985335e-30,4.821526e-28,1.1722394e-31,9.720905e-26,0.0,0.0,0.0,0.0,3333
